VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,AvgSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750,10746,283909.31999999785,10128.0,389506.7199999737,38.458404423378134,18613.130000000292,68601.68000000001,105597.39999997587,27.1105463854341,0.9424902289223898,1.3719405900446546
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750,63188,283082.2400000021,62368.0,502198.45999996323,8.052181567469908,6997.389999999823,144929.24,219116.21999996115,43.6314002237237,0.9870228524403367,1.7740373256900877
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500,47207,277577.15999999834,46764.0,469543.3599999536,10.040701394233889,10500.99999999999,79528.99,191966.19999995525,40.8835937963161,0.9906157985044591,1.6915777940805952
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750,18007,266683.66999999026,17355.0,390990.4499999656,22.52898012100061,31890.82999999849,50293.62000000002,124306.77999997535,31.7927918699769,0.9637918587216082,1.466120703978537
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10.44,15.99,750,25499,266209.5599999954,25465.0,381031.3499999674,14.962943255447374,20051.860000002063,50293.62000000002,114821.78999997198,30.134473187044,0.9986666143770344,1.4313210614974683
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,23.91,32.99,1750,11035,263846.8499999981,11114.0,379652.85999997245,34.15987583228113,20425.750000000087,257032.07000000007,115806.00999997434,30.5031312025366,1.0071590394200272,1.4389137486385575
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,15.62,23.99,750,16740,261478.8000000034,16745.0,387588.54999996343,23.14652433562039,13188.290000001265,257032.07000000007,126109.74999996004,32.5370163798626,1.0002986857825567,1.4822943580892922
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,0.77,0.99,50,337660,259998.19999999896,334939.0,331589.6100000002,0.9900000000000007,17579.289999999313,257032.07000000007,71591.41000000125,21.5903658742508,0.9919415980572173,1.2753534832164282
6213,MHW LTD,5921,RumChata Liqueur,14.81,21.99,750,17419,257975.38999999338,17317.0,363394.82999997545,20.984860541662844,13638.270000000684,9621.580000000002,105419.43999998207,29.0096146937449,0.9941443251621792,1.4086414599469539
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,10.52,16.99,3000,24452,257235.03999999663,24253.0,443383.46999994945,18.281592792642126,10913.850000000484,79528.99,186148.42999995282,41.9836197321416,0.9918616064125634,1.7236511402177372
17035,PERNOD RICARD USA,2756,Jameson Caskmates,22.89,29.99,750,11220,256825.79999999833,10632.0,316023.6799999836,29.723822422872797,8376.849999999675,123780.21999999997,59197.87999998525,18.7321026069908,0.9475935828877006,1.2304981820361724
